Grupo Etario|CIE-10|_resultado|_k
E|M16.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M16.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M16.7|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M16.9|MF|0.0
E|M17.0|MF|0.0
E|M17.1|MF|0.0
E|M17.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M17.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M17.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M17.5|ORTOPEDIA Y TRAUMATOLOGIA|2.0
E|M17.9|MF|0.0
E|M19.0|MF|0.0
E|M19.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M19.2|REUMATOLOGIA|1.0
E|M19.8|MG|0.0
E|M19.9|MG|0.0
E|M23.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M23.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M23.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M23.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M23.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M23.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M23.8|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M23.9|ORTOPEDIA Y TRAUMATOLOGIA|3.0
E|M25.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M25.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M25.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M25.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M25.5|MG|0.0
E|M25.6|REUMATOLOGIA|1.0
E|M25.7|MF|0.0
E|M25.8|MF|0.0
E|M25.9|MF|0.0
E|M47.0|NEUROCIRUGIA|1.0
E|M47.1|NEUROLOGIA|1.0
E|M47.2|NEUROCIRUGIA|2.0
E|M47.8|MEDICINA FISICA Y REHABILITACION|2.0
E|M47.9|REUMATOLOGIA|3.0
E|M51.0|NEUROCIRUGIA|1.0
E|M51.1|NEUROCIRUGIA|2.0
E|M51.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M51.3|NEUROCIRUGIA|1.0
E|M51.4|NEUROCIRUGIA|1.0
E|M51.8|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M51.9|GERIATRIA|1.0
E|M54.0|GERIATRIA|1.0
E|M54.1|NEUROLOGIA|2.0
E|M54.2|MF|0.0
E|M54.3|MF|0.0
E|M54.4|MEDICINA FISICA Y REHABILITACION|2.0
E|M54.5|MF|0.0
E|M54.6|MF|0.0
E|M54.8|MF|0.0
E|M54.9|MF|0.0
E|M65.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M65.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M65.2|REUMATOLOGIA|1.0
E|M65.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M65.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M65.8|MF|0.0
E|M65.9|MF|0.0
E|M75.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M75.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M75.2|ORTOPEDIA Y TRAUMATOLOGIA|2.0
E|M75.3|MEDICINA FISICA Y REHABILITACION|2.0
E|M75.4|MF|0.0
E|M75.5|ORTOPEDIA Y TRAUMATOLOGIA|2.0
E|M75.8|ORTOPEDIA Y TRAUMATOLOGIA|2.0
E|M75.9|ORTOPEDIA Y TRAUMATOLOGIA|2.0
E|M77.0|MEDICINA FISICA Y REHABILITACION|1.0
E|M77.1|MEDICINA FISICA Y REHABILITACION|1.0
E|M77.2|REUMATOLOGIA|1.0
E|M77.3|ORTOPEDIA Y TRAUMATOLOGIA|2.0
E|M77.4|MF|0.0
E|M77.5|MF|0.0
E|M77.8|MF|0.0
E|M77.9|MF|0.0
E|M79.0|MF|0.0
E|M79.1|MF|0.0
E|M79.2|MF|0.0
E|M79.3|MF|0.0
E|M79.5|CIRUGIA GENERAL|1.0
E|M79.6|MG|0.0
E|M79.7|REUMATOLOGIA|3.0
E|M79.8|MF|0.0
E|M79.9|MG|0.0
E|M81.0|MF|0.0
E|M81.1|MF|0.0
E|M81.2|MF|0.0
E|M81.3|MF|0.0
E|M81.4|MF|0.0
E|M81.5|MF|0.0
E|M81.6|MF|0.0
E|M81.8|MF|0.0
E|M81.9|MF|0.0
E|M85.2|GERIATRIA|1.0
E|M85.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0
E|M85.6|ORTOPEDIA Y TRAUMATOLOGIA|2.0
E|M85.8|MF|0.0
E|M85.9|MG|0.0
E|N40|MF|0.0
E|N18.1|MG|0.0
E|N18.2|MF|0.0
E|N18.3|MF|0.0
E|N18.4|NEFROLOGIA|1.0
