Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
D|N83.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N83.3|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N83.4|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N83.8|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N83.9|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N84.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N84.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N84.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N84.3|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N84.8|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N84.9|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N85.0|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N85.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N85.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N85.5|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N85.6|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N85.7|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N85.8|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N85.9|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N87.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N87.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N87.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N87.9|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N92.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N92.1|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N92.2|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N92.4|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N92.5|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N92.6|GINECOLOGIA Y OBSTETRICIA|4.0|
D|N93.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N93.8|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N93.9|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N95.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N95.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|N95.2|GINECOLOGIA Y OBSTETRICIA|5.0|
D|N95.3|GINECOLOGIA Y OBSTETRICIA|2.0|
D|N95.8|GINECOLOGIA Y OBSTETRICIA|3.0|
D|N95.9|GINECOLOGIA Y OBSTETRICIA|5.0|
D|O34.0|GINECOLOGIA Y OBSTETRICIA|1.0|
D|O34.1|GINECOLOGIA Y OBSTETRICIA|1.0|
D|O34.2|GINECOLOGIA Y OBSTETRICIA|1.0|
D|O34.6|GINECOLOGIA Y OBSTETRICIA|1.0|
D|O34.8|GINECOLOGIA Y OBSTETRICIA|1.0|
D|O34.9|GINECOLOGIA Y OBSTETRICIA|1.0|
D|R51|MG|0.0|
D|R07.0|MG|0.0|
D|R07.1|MG|0.0|
D|R07.2|CARDIOLOGIA|1.0|
D|R07.3|MG|0.0|
D|R07.4|MG|0.0|
D|R10.0|CIRUGIA GENERAL|1.0|
D|R10.1|MF|0.0|
D|R10.2|MF|0.0|
D|R10.3|MF|0.0|
D|R10.4|MG|0.0|
D|R73.0|MF|0.0|
D|R73.9|MF|0.0|
D|S52.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S52.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S52.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S52.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S52.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S52.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S52.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S52.7|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S52.8|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S52.9|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S82.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S82.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S82.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S82.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S82.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
D|S82.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
