Grupo Etario A|CIE-10|_resultado|_k|Unnamed: 4
C|N93.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N93.9|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N94.0|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N94.1|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N94.2|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N94.3|MF|0.0|
C|N94.4|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N94.5|GINECOLOGIA Y OBSTETRICIA|2.0|
C|N94.6|MF|0.0|
C|N94.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|N94.9|GINECOLOGIA Y OBSTETRICIA|1.0|
C|O23.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|O23.1|MF|0.0|
C|O23.3|GINECOLOGIA Y OBSTETRICIA|1.0|
C|O23.4|MF|0.0|
C|O23.5|GINECOLOGIA Y OBSTETRICIA|1.0|
C|O23.9|GINECOLOGIA Y OBSTETRICIA|1.0|
C|O34.0|GINECOLOGIA Y OBSTETRICIA|1.0|
C|O34.2|GINECOLOGIA Y OBSTETRICIA|2.0|
C|O34.4|GINECOLOGIA Y OBSTETRICIA|1.0|
C|O34.8|GINECOLOGIA Y OBSTETRICIA|1.0|
C|R51|MG|0.0|
C|R07.0|MG|0.0|
C|R07.1|MF|0.0|
C|R07.2|CARDIOLOGIA|2.0|
C|R07.3|MG|0.0|
C|R07.4|MF|0.0|
C|R10.0|CIRUGIA GENERAL|1.0|
C|R10.1|MF|0.0|
C|R10.2|MF|0.0|
C|R10.3|MF|0.0|
C|R10.4|MF|0.0|
C|R52.0|MG|0.0|
C|R52.1|ANESTESIA, ANALGESIA Y REANIMACION|2.0|
C|R52.2|MG|0.0|
C|R52.9|MG|0.0|
C|S52.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S52.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S52.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S52.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S52.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S52.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S52.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S52.8|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S52.9|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S61.0|MG|0.0|
C|S61.1|MF|0.0|
C|S61.7|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S61.8|MF|0.0|
C|S61.9|MF|0.0|
C|S62.0|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S62.1|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S62.2|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S62.3|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S62.4|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S62.5|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S62.6|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S62.7|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S62.8|ORTOPEDIA Y TRAUMATOLOGIA|1.0|
C|S80.0|MG|0.0|
C|S80.1|MG|0.0|
